y,x,street_count,highway,geometry
9.9221233,78.1229022,4,,POINT (78.1229022 9.9221233)
9.918406,78.1220367,3,,POINT (78.1220367 9.918406)
9.919636,78.1218347,4,,POINT (78.1218347 9.919636)
9.9212312,78.1213891,3,,POINT (78.1213891 9.9212312)
9.9199467,78.1232222,4,,POINT (78.1232222 9.9199467)
9.9211285,78.1229894,3,,POINT (78.1229894 9.9211285)
9.9208699,78.1215148,3,,POINT (78.1215148 9.9208699)
9.9215577,78.1228997,4,,POINT (78.1228997 9.9215577)
9.9211522,78.1214221,3,,POINT (78.1214221 9.9211522)
9.9187527,78.1234185,3,,POINT (78.1234185 9.9187527)
9.9232335,78.1229044,4,,POINT (78.1229044 9.9232335)
9.9239171,78.1230924,4,,POINT (78.1230924 9.9239171)
9.9229293,78.1151187,3,,POINT (78.1151187 9.9229293)
9.9229029,78.1157969,3,,POINT (78.1157969 9.9229029)
9.9233347,78.1203085,3,,POINT (78.1203085 9.9233347)
9.9241651,78.1151643,4,traffic_signals,POINT (78.1151643 9.9241651)
9.9238565,78.1126974,4,,POINT (78.1126974 9.9238565)
9.9193022,78.1150243,3,,POINT (78.1150243 9.9193022)
9.9220403,78.1146381,3,,POINT (78.1146381 9.9220403)
9.9232506,78.1151616,4,,POINT (78.1151616 9.9232506)
9.9119945,78.1159319,4,,POINT (78.1159319 9.9119945)
9.9148294,78.1158966,4,,POINT (78.1158966 9.9148294)
9.9157258,78.115771,3,,POINT (78.115771 9.9157258)
9.9172334,78.1155542,4,traffic_signals,POINT (78.1155542 9.9172334)
9.9148381,78.117507,3,,POINT (78.117507 9.9148381)
9.9175634,78.1231839,3,,POINT (78.1231839 9.9175634)
9.9118309,78.1222585,3,,POINT (78.1222585 9.9118309)
9.9116286,78.1230243,3,,POINT (78.1230243 9.9116286)
9.9124124,78.115969,4,,POINT (78.115969 9.9124124)
9.9167912,78.1174619,3,,POINT (78.1174619 9.9167912)
9.9168306,78.1197399,4,,POINT (78.1197399 9.9168306)
9.9185075,78.1223628,3,,POINT (78.1223628 9.9185075)
9.9186648,78.1229867,3,,POINT (78.1229867 9.9186648)
9.9209202,78.1171803,4,,POINT (78.1171803 9.9209202)
9.9191585,78.1170928,4,,POINT (78.1170928 9.9191585)
9.9193645,78.1180132,4,,POINT (78.1180132 9.9193645)
9.9187212,78.1151882,3,,POINT (78.1151882 9.9187212)
9.9180346,78.1183431,3,,POINT (78.1183431 9.9180346)
9.9209694,78.1203595,4,,POINT (78.1203595 9.9209694)
9.922226,78.1216917,3,,POINT (78.1216917 9.922226)
9.9299174,78.125965,3,,POINT (78.125965 9.9299174)
9.9296338,78.1668317,3,,POINT (78.1668317 9.9296338)
9.9297437,78.1648723,3,,POINT (78.1648723 9.9297437)
9.9274855,78.1538485,3,,POINT (78.1538485 9.9274855)
9.9262885,78.1411812,3,,POINT (78.1411812 9.9262885)
9.9256117,78.1366494,3,,POINT (78.1366494 9.9256117)
9.9263236,78.1344912,4,,POINT (78.1344912 9.9263236)
9.9314799,78.1689901,4,traffic_signals,POINT (78.1689901 9.9314799)
9.9490958,78.1636221,3,,POINT (78.1636221 9.9490958)
9.9494428,78.1634073,3,,POINT (78.1634073 9.9494428)
9.8451046,78.0964643,5,,POINT (78.0964643 9.8451046)
9.8478538,78.097096,3,,POINT (78.097096 9.8478538)
9.8483568,78.097221,3,,POINT (78.097221 9.8483568)
9.9110445,78.1199465,4,,POINT (78.1199465 9.9110445)
9.9059254,78.1212718,3,,POINT (78.1212718 9.9059254)
9.9050746,78.121415,3,,POINT (78.121415 9.9050746)
9.9043708,78.1214616,3,,POINT (78.1214616 9.9043708)
9.9026752,78.1213426,3,,POINT (78.1213426 9.9026752)
9.9020274,78.1210492,3,,POINT (78.1210492 9.9020274)
9.9018016,78.1208874,3,,POINT (78.1208874 9.9018016)
9.900884,78.1204173,3,,POINT (78.1204173 9.900884)
9.899044,78.1200368,3,,POINT (78.1200368 9.899044)
9.8987613,78.1196954,3,,POINT (78.1196954 9.8987613)
9.8981096,78.119245,3,,POINT (78.119245 9.8981096)
9.8978631,78.1191063,3,,POINT (78.1191063 9.8978631)
9.8947122,78.1176558,3,,POINT (78.1176558 9.8947122)
9.88748,78.117182,3,,POINT (78.117182 9.88748)
9.8800374,78.1195483,4,,POINT (78.1195483 9.8800374)
9.878068,78.1188768,4,,POINT (78.1188768 9.878068)
9.8767938,78.1167893,4,,POINT (78.1167893 9.8767938)
9.8730542,78.1086326,4,,POINT (78.1086326 9.8730542)
9.8719164,78.107174,3,,POINT (78.107174 9.8719164)
9.8551074,78.0998494,3,,POINT (78.0998494 9.8551074)
9.8530836,78.0984615,3,,POINT (78.0984615 9.8530836)
9.8491106,78.0989309,3,,POINT (78.0989309 9.8491106)
9.8419027,78.1048044,3,,POINT (78.1048044 9.8419027)
9.9130713,78.1250689,4,,POINT (78.1250689 9.9130713)
9.9143097,78.1250862,4,,POINT (78.1250862 9.9143097)
9.906154,78.1245802,3,,POINT (78.1245802 9.906154)
9.9084038,78.1245481,4,,POINT (78.1245481 9.9084038)
9.9107476,78.1249303,3,,POINT (78.1249303 9.9107476)
9.9115243,78.1251077,3,,POINT (78.1251077 9.9115243)
9.9069283,78.1209056,3,,POINT (78.1209056 9.9069283)
9.9063194,78.1225883,3,,POINT (78.1225883 9.9063194)
9.9029495,78.1064098,3,,POINT (78.1064098 9.9029495)
9.906341,78.1136534,3,,POINT (78.1136534 9.906341)
9.9064868,78.1121779,3,,POINT (78.1121779 9.9064868)
9.9057564,78.1060464,4,,POINT (78.1060464 9.9057564)
9.9040678,78.0975294,3,,POINT (78.0975294 9.9040678)
9.9043488,78.0954294,4,,POINT (78.0954294 9.9043488)
9.9046236,78.0945737,3,,POINT (78.0945737 9.9046236)
9.9055972,78.1285356,3,,POINT (78.1285356 9.9055972)
9.9060361,78.1283385,3,,POINT (78.1283385 9.9060361)
9.9092973,78.1275259,3,,POINT (78.1275259 9.9092973)
9.9106468,78.1271438,3,,POINT (78.1271438 9.9106468)
9.9139241,78.1266573,3,,POINT (78.1266573 9.9139241)
9.9144206,78.1265373,4,,POINT (78.1265373 9.9144206)
9.889125,78.1430252,3,,POINT (78.1430252 9.889125)
9.8964897,78.1374374,3,,POINT (78.1374374 9.8964897)
9.8971914,78.1365192,3,,POINT (78.1365192 9.8971914)
9.9524087,78.0991066,3,,POINT (78.0991066 9.9524087)
9.9544354,78.0987661,3,,POINT (78.0987661 9.9544354)
9.9587553,78.098249,3,,POINT (78.098249 9.9587553)
9.969294,78.096907,3,,POINT (78.096907 9.969294)
9.9427367,78.10098,3,,POINT (78.10098 9.9427367)
9.9462098,78.0991114,3,,POINT (78.0991114 9.9462098)
9.930986,78.1241893,4,,POINT (78.1241893 9.930986)
9.9366323,78.1113183,3,,POINT (78.1113183 9.9366323)
9.9369256,78.1106292,3,,POINT (78.1106292 9.9369256)
9.939441,78.1065301,3,,POINT (78.1065301 9.939441)
9.9395427,78.1064688,3,,POINT (78.1064688 9.9395427)
9.9396229,78.1063114,3,,POINT (78.1063114 9.9396229)
9.9416441,78.1017233,4,,POINT (78.1017233 9.9416441)
9.9287188,78.1142005,3,,POINT (78.1142005 9.9287188)
9.928667,78.1230289,3,,POINT (78.1230289 9.928667)
9.9270372,78.1220084,4,,POINT (78.1220084 9.9270372)
9.926378,78.1216877,4,,POINT (78.1216877 9.926378)
9.9247354,78.121571,3,,POINT (78.121571 9.9247354)
9.9247334,78.129827,3,,POINT (78.129827 9.9247334)
9.9213202,78.1275511,3,,POINT (78.1275511 9.9213202)
9.979655,78.1022412,3,,POINT (78.1022412 9.979655)
9.9810116,78.0986919,3,,POINT (78.0986919 9.9810116)
9.9799284,78.091224,3,,POINT (78.091224 9.9799284)
9.9793064,78.0912729,3,,POINT (78.0912729 9.9793064)
9.9786588,78.0913907,3,,POINT (78.0913907 9.9786588)
9.9748182,78.0934006,3,,POINT (78.0934006 9.9748182)
9.9733944,78.093819,3,,POINT (78.093819 9.9733944)
9.9715793,78.0972574,3,,POINT (78.0972574 9.9715793)
9.9710762,78.0860401,3,,POINT (78.0860401 9.9710762)
9.9718028,78.0884796,3,,POINT (78.0884796 9.9718028)
9.9722035,78.0898142,3,,POINT (78.0898142 9.9722035)
9.9730044,78.0924842,3,,POINT (78.0924842 9.9730044)
9.959581,78.1191359,3,,POINT (78.1191359 9.959581)
9.9596183,78.1170907,3,,POINT (78.1170907 9.9596183)
9.9594946,78.1162029,4,,POINT (78.1162029 9.9594946)
9.959479,78.1158202,3,,POINT (78.1158202 9.959479)
9.9601032,78.1136,3,,POINT (78.1136 9.9601032)
9.9594156,78.1133609,3,,POINT (78.1133609 9.9594156)
9.9613507,78.1009433,3,,POINT (78.1009433 9.9613507)
9.9618398,78.0981034,3,,POINT (78.0981034 9.9618398)
9.9460751,78.1200519,3,,POINT (78.1200519 9.9460751)
9.94583,78.1201635,3,,POINT (78.1201635 9.94583)
9.9609762,78.1189984,4,,POINT (78.1189984 9.9609762)
9.9583948,78.1192443,3,,POINT (78.1192443 9.9583948)
9.9575073,78.1193091,3,,POINT (78.1193091 9.9575073)
9.9569564,78.1193481,3,,POINT (78.1193481 9.9569564)
9.9564417,78.1191756,3,,POINT (78.1191756 9.9564417)
9.9505558,78.1192193,3,,POINT (78.1192193 9.9505558)
9.9469966,78.1197944,3,,POINT (78.1197944 9.9469966)
9.9448292,78.1264738,3,,POINT (78.1264738 9.9448292)
9.9443632,78.1275554,3,,POINT (78.1275554 9.9443632)
9.9421792,78.1291837,3,,POINT (78.1291837 9.9421792)
9.9420392,78.129367,4,,POINT (78.129367 9.9420392)
9.9422676,78.1294922,3,,POINT (78.1294922 9.9422676)
9.9452371,78.1294363,4,,POINT (78.1294363 9.9452371)
9.9493954,78.1294242,4,,POINT (78.1294242 9.9493954)
9.9567651,78.128837,3,,POINT (78.128837 9.9567651)
9.9603115,78.1279397,3,,POINT (78.1279397 9.9603115)
9.9653752,78.1265493,3,,POINT (78.1265493 9.9653752)
9.9494652,78.1301971,3,,POINT (78.1301971 9.9494652)
9.946538,78.1307018,3,,POINT (78.1307018 9.946538)
9.9446067,78.1303141,3,,POINT (78.1303141 9.9446067)
9.9528159,78.1328192,4,,POINT (78.1328192 9.9528159)
9.9537054,78.1325319,3,,POINT (78.1325319 9.9537054)
9.95668,78.1330752,3,,POINT (78.1330752 9.95668)
9.959897,78.1339267,3,,POINT (78.1339267 9.959897)
9.9627456,78.1347709,3,,POINT (78.1347709 9.9627456)
9.9337657,78.1335625,4,,POINT (78.1335625 9.9337657)
9.9456372,78.1350002,4,,POINT (78.1350002 9.9456372)
9.9384669,78.1415489,3,,POINT (78.1415489 9.9384669)
9.9432724,78.1419812,4,,POINT (78.1419812 9.9432724)
9.9427351,78.1358917,4,,POINT (78.1358917 9.9427351)
9.9422856,78.1346345,3,,POINT (78.1346345 9.9422856)
9.9413155,78.1344714,3,,POINT (78.1344714 9.9413155)
9.9408856,78.1345173,3,,POINT (78.1345173 9.9408856)
9.9403686,78.1346259,3,,POINT (78.1346259 9.9403686)
9.937797,78.1415573,3,,POINT (78.1415573 9.937797)
9.9410221,78.1468939,3,,POINT (78.1468939 9.9410221)
9.9431416,78.1447797,3,,POINT (78.1447797 9.9431416)
9.9450163,78.1434754,3,,POINT (78.1434754 9.9450163)
9.9437164,78.1492343,3,,POINT (78.1492343 9.9437164)
9.9422895,78.130261,3,,POINT (78.130261 9.9422895)
9.9419268,78.1300516,3,,POINT (78.1300516 9.9419268)
9.942159,78.1294845,4,,POINT (78.1294845 9.942159)
9.9428879,78.1324373,3,,POINT (78.1324373 9.9428879)
9.9436657,78.130858,3,,POINT (78.130858 9.9436657)
9.9320364,78.1311679,3,,POINT (78.1311679 9.9320364)
9.9325261,78.1306604,3,,POINT (78.1306604 9.9325261)
9.9329485,78.1298937,3,,POINT (78.1298937 9.9329485)
9.933143,78.1289418,4,,POINT (78.1289418 9.933143)
9.9359444,78.1275108,4,,POINT (78.1275108 9.9359444)
9.9369304,78.1277526,4,,POINT (78.1277526 9.9369304)
9.9386686,78.1287728,4,,POINT (78.1287728 9.9386686)
9.934725,78.1279732,4,,POINT (78.1279732 9.934725)
9.9344246,78.1300852,3,,POINT (78.1300852 9.9344246)
9.9344728,78.1260105,4,,POINT (78.1260105 9.9344728)
9.9338355,78.1285778,4,,POINT (78.1285778 9.9338355)
9.9336305,78.1267724,3,,POINT (78.1267724 9.9336305)
9.9342265,78.1297311,3,,POINT (78.1297311 9.9342265)
9.9393963,78.1259957,3,,POINT (78.1259957 9.9393963)
9.9389736,78.1259313,3,,POINT (78.1259313 9.9389736)
9.9369197,78.1257937,4,,POINT (78.1257937 9.9369197)
9.9363132,78.1256679,3,,POINT (78.1256679 9.9363132)
9.9322505,78.1271059,4,,POINT (78.1271059 9.9322505)
9.9318128,78.1271148,3,,POINT (78.1271148 9.9318128)
9.9312116,78.1271529,3,,POINT (78.1271529 9.9312116)
9.9300283,78.1265503,3,,POINT (78.1265503 9.9300283)
9.9395424,78.1252267,3,,POINT (78.1252267 9.9395424)
9.9389762,78.1274981,4,,POINT (78.1274981 9.9389762)
9.9378472,78.1333372,3,,POINT (78.1333372 9.9378472)
9.937698,78.1340381,3,,POINT (78.1340381 9.937698)
9.9372234,78.135616,3,,POINT (78.135616 9.9372234)
9.9061782,78.1394023,3,,POINT (78.1394023 9.9061782)
9.9081008,78.1388972,3,,POINT (78.1388972 9.9081008)
9.9110101,78.1378714,3,,POINT (78.1378714 9.9110101)
9.913364,78.1384113,3,,POINT (78.1384113 9.913364)
9.9091638,78.1464106,4,,POINT (78.1464106 9.9091638)
9.9107494,78.143044,3,,POINT (78.143044 9.9107494)
9.9136266,78.1379396,3,,POINT (78.1379396 9.9136266)
9.9151649,78.1342915,3,,POINT (78.1342915 9.9151649)
9.9165918,78.1321677,3,,POINT (78.1321677 9.9165918)
